1,227,0,0,76.379,116.87
2,251,0,0,90.371,145.88
3,2324,422,0.18158,120.16,354.13
4,211,0,0,118.63,145.63
5,2270,509,0.22423,170.69,522.04
6,2248,460,0.20463,222.69,172.08
7,3344,733,0.2192,250.84,305.54
8,3507,508,0.14485,296.31,205.63
9,907,48,0.052922,301.4,266.75
10,1991,450,0.22602,348.35,447.34
11,2823,559,0.19802,381.14,388.19
12,2884,662,0.22954,416.48,326.02
13,2670,501,0.18764,443.59,135.78
14,2288,437,0.191,457.45,35.319
15,856,68,0.079439,483.47,507.4
16,3573,679,0.19004,506.8,387.72
17,2081,406,0.1951,585.56,369.29
18,677,176,0.25997,609.78,78.337
